HOUR,MIN,SEC,GDLAT,GLON,TEC,DTEC
0,2,30,-81,-114,13.7095,1.32239
0,2,30,-81,-101,14.3221,1.30773
0,2,30,-81,-98,16.6608,1.3066
0,2,30,-81,-95,16.2178,0.921404
0,2,30,-81,-92,17.4919,1.33418
0,2,30,-81,-76,14.8367,1.30228
0,2,30,-81,-48,15.71,1.3079
0,2,30,-81,-41,15.2013,1.30474
0,2,30,-81,-38,15.0166,1.32409
0,2,30,-81,-23,14.8069,1.49711
0,2,30,-81,12,12.8021,1.31581
0,2,30,-81,137,17.7817,1.32291
0,2,30,-81,175,16.1974,1.32032
0,2,30,-80,-178,12.8567,0.583726
0,2,30,-80,-174,14.3903,0.355574
0,2,30,-80,-161,14.3807,1.35468
0,2,30,-80,-158,14.433,1.32949
0,2,30,-80,-130,16.9551,0.923779
0,2,30,-80,-127,17.0332,1.31341
0,2,30,-80,-124,16.0614,0.926079
0,2,30,-80,-118,16.7757,1.33205
0,2,30,-80,-113,16.486,0.928353
0,2,30,-80,-110,15.765,1.31783
0,2,30,-80,-107,14.0979,1.30438
0,2,30,-80,-98,17.595,0.922869
0,2,30,-80,-95,13.8794,1.30586
0,2,30,-80,-92,14.3082,1.30291
0,2,30,-80,-89,14.6781,0.921653
0,2,30,-80,-82,13.6219,1.31085
0,2,30,-80,-73,14.3114,1.30385
0,2,30,-80,-68,12.6366,1.30445
0,2,30,-80,-64,14.9725,0.922587
0,2,30,-80,-60,14.8814,0.925043
0,2,30,-80,-36,12.2645,1.30983
0,2,30,-80,-33,13.7626,0.934837
0,2,30,-80,-25,14.2729,1.31059
0,2,30,-80,-20,13.638,1.30861
0,2,30,-80,134,15.4789,0.95244
0,2,30,-80,179,12.3486,1.30576
0,2,30,-79,-168,15.6036,1.33053
0,2,30,-79,-158,18.1521,1.30855
0,2,30,-79,-126,15.735,0.784953
0,2,30,-79,-121,15.0288,1.31352
0,2,30,-79,-115,16.1582,1.3031
0,2,30,-79,-104,16.1077,0.921751
0,2,30,-79,-98,14.6658,1.30595
0,2,30,-79,-85,18.0596,0.921334
0,2,30,-79,-82,14.2562,1.30298
0,2,30,-79,-74,14.8405,1.3055
0,2,30,-79,-71,16.7156,0.926243
0,2,30,-79,-65,13.1784,0.92177
0,2,30,-79,-62,10.3448,1.30257
0,2,30,-79,-57,14.9762,1.30286
0,2,30,-79,-33,13.1931,1.31845
0,2,30,-79,-30,13.4038,0.940947
0,2,30,-79,-27,12.9651,1.30708
0,2,30,-79,-24,14.1973,1.32585
0,2,30,-79,-17,13.4646,1.34441
0,2,30,-79,2,13.2154,1.33341
0,2,30,-79,59,13.0658,1.34365
